age,sex,edu,polviews,time_took,issue,type,opinion,mf,value,id
28,Female,bach,1,14.8,kidpars,against,0,Harm,1,1
28,Female,bach,1,14.8,kidpars,against,0,Authority,0,1
28,Female,bach,1,14.8,kidpars,against,0,Purity,0,1
28,Female,bach,1,14.8,kidpars,against,0,Liberty,0,1
28,Female,bach,1,14.8,kidpars,against,0,Violence,0,1
28,Female,bach,1,14.8,kidpars,against,0,other,0,1
28,Female,bach,1,14.8,kidpars,against,0,Fairness,0,1
28,Female,bach,1,14.8,kidpars,against,0,Ingroup,0,1
28,Female,bach,1,14.8,kidpars,pro,1,Harm,1,1
28,Female,bach,1,14.8,kidpars,pro,1,Authority,0,1
28,Female,bach,1,14.8,kidpars,pro,1,Purity,0,1
28,Female,bach,1,14.8,kidpars,pro,1,Liberty,0,1
28,Female,bach,1,14.8,kidpars,pro,1,Violence,0,1
28,Female,bach,1,14.8,kidpars,pro,1,other,1,1
28,Female,bach,1,14.8,kidpars,pro,1,Fairness,0,1
28,Female,bach,1,14.8,kidpars,pro,1,Ingroup,0,1
28,Female,bach,1,14.8,stoprndm,against,0,Harm,0,1
28,Female,bach,1,14.8,stoprndm,against,0,Authority,0,1
28,Female,bach,1,14.8,stoprndm,against,0,Purity,0,1
28,Female,bach,1,14.8,stoprndm,against,0,Liberty,1,1
28,Female,bach,1,14.8,stoprndm,against,0,Violence,0,1
28,Female,bach,1,14.8,stoprndm,against,0,other,0,1
28,Female,bach,1,14.8,stoprndm,against,0,Fairness,0,1
28,Female,bach,1,14.8,stoprndm,against,0,Ingroup,0,1
28,Female,bach,1,14.8,stoprndm,pro,1,Harm,0,1
28,Female,bach,1,14.8,stoprndm,pro,1,Authority,0,1
28,Female,bach,1,14.8,stoprndm,pro,1,Purity,0,1
28,Female,bach,1,14.8,stoprndm,pro,1,Liberty,0,1
28,Female,bach,1,14.8,stoprndm,pro,1,Violence,0,1
28,Female,bach,1,14.8,stoprndm,pro,1,other,1,1
28,Female,bach,1,14.8,stoprndm,pro,1,Fairness,0,1
28,Female,bach,1,14.8,stoprndm,pro,1,Ingroup,0,1
28,Female,bach,1,14.8,tapphone,against,1,Harm,0,1
28,Female,bach,1,14.8,tapphone,against,1,Authority,1,1
28,Female,bach,1,14.8,tapphone,against,1,Purity,0,1
28,Female,bach,1,14.8,tapphone,against,1,Liberty,0,1
28,Female,bach,1,14.8,tapphone,against,1,Violence,0,1
28,Female,bach,1,14.8,tapphone,against,1,other,0,1
28,Female,bach,1,14.8,tapphone,against,1,Fairness,1,1
28,Female,bach,1,14.8,tapphone,against,1,Ingroup,0,1
28,Female,bach,1,14.8,tapphone,pro,0,Harm,0,1
28,Female,bach,1,14.8,tapphone,pro,0,Authority,0,1
28,Female,bach,1,14.8,tapphone,pro,0,Purity,0,1
28,Female,bach,1,14.8,tapphone,pro,0,Liberty,0,1
28,Female,bach,1,14.8,tapphone,pro,0,Violence,1,1
28,Female,bach,1,14.8,tapphone,pro,0,other,0,1
28,Female,bach,1,14.8,tapphone,pro,0,Fairness,0,1
28,Female,bach,1,14.8,tapphone,pro,0,Ingroup,0,1
45,Male,<bach,4,9.55,helpfrds,against,0,Harm,0,2
45,Male,<bach,4,9.55,helpfrds,against,0,Authority,0,2
45,Male,<bach,4,9.55,helpfrds,against,0,Purity,0,2
45,Male,<bach,4,9.55,helpfrds,against,0,Liberty,0,2
45,Male,<bach,4,9.55,helpfrds,against,0,Violence,0,2
45,Male,<bach,4,9.55,helpfrds,against,0,other,1,2
45,Male,<bach,4,9.55,helpfrds,against,0,Fairness,0,2
45,Male,<bach,4,9.55,helpfrds,against,0,Ingroup,0,2
45,Male,<bach,4,9.55,helpfrds,pro,1,Harm,1,2
45,Male,<bach,4,9.55,helpfrds,pro,1,Authority,0,2
45,Male,<bach,4,9.55,helpfrds,pro,1,Purity,0,2
45,Male,<bach,4,9.55,helpfrds,pro,1,Liberty,0,2
45,Male,<bach,4,9.55,helpfrds,pro,1,Violence,0,2
45,Male,<bach,4,9.55,helpfrds,pro,1,other,0,2
45,Male,<bach,4,9.55,helpfrds,pro,1,Fairness,0,2
45,Male,<bach,4,9.55,helpfrds,pro,1,Ingroup,0,2
45,Male,<bach,4,9.55,kidpars,against,0,Harm,0,2
45,Male,<bach,4,9.55,kidpars,against,0,Authority,0,2
45,Male,<bach,4,9.55,kidpars,against,0,Purity,0,2
45,Male,<bach,4,9.55,kidpars,against,0,Liberty,0,2
45,Male,<bach,4,9.55,kidpars,against,0,Violence,0,2
45,Male,<bach,4,9.55,kidpars,against,0,other,0,2
45,Male,<bach,4,9.55,kidpars,against,0,Fairness,1,2
45,Male,<bach,4,9.55,kidpars,against,0,Ingroup,0,2
45,Male,<bach,4,9.55,kidpars,pro,1,Harm,0,2
45,Male,<bach,4,9.55,kidpars,pro,1,Authority,0,2
45,Male,<bach,4,9.55,kidpars,pro,1,Purity,0,2
45,Male,<bach,4,9.55,kidpars,pro,1,Liberty,0,2
45,Male,<bach,4,9.55,kidpars,pro,1,Violence,0,2
45,Male,<bach,4,9.55,kidpars,pro,1,other,1,2
45,Male,<bach,4,9.55,kidpars,pro,1,Fairness,0,2
45,Male,<bach,4,9.55,kidpars,pro,1,Ingroup,0,2
45,Male,<bach,4,9.55,wrksch,against,1,Harm,0,2
45,Male,<bach,4,9.55,wrksch,against,1,Authority,0,2
45,Male,<bach,4,9.55,wrksch,against,1,Purity,0,2
45,Male,<bach,4,9.55,wrksch,against,1,Liberty,1,2
45,Male,<bach,4,9.55,wrksch,against,1,Violence,0,2
45,Male,<bach,4,9.55,wrksch,against,1,other,0,2
45,Male,<bach,4,9.55,wrksch,against,1,Fairness,1,2
45,Male,<bach,4,9.55,wrksch,against,1,Ingroup,0,2
45,Male,<bach,4,9.55,wrksch,pro,0,Harm,0,2
45,Male,<bach,4,9.55,wrksch,pro,0,Authority,1,2
45,Male,<bach,4,9.55,wrksch,pro,0,Purity,0,2
45,Male,<bach,4,9.55,wrksch,pro,0,Liberty,0,2
45,Male,<bach,4,9.55,wrksch,pro,0,Violence,0,2
45,Male,<bach,4,9.55,wrksch,pro,0,other,0,2
45,Male,<bach,4,9.55,wrksch,pro,0,Fairness,0,2
45,Male,<bach,4,9.55,wrksch,pro,0,Ingroup,0,2
73,Female,<bach,10-right,15.016666666666667,cohabok,against,1,Harm,0,3
73,Female,<bach,10-right,15.016666666666667,cohabok,against,1,Authority,0,3
73,Female,<bach,10-right,15.016666666666667,cohabok,against,1,Purity,1,3
73,Female,<bach,10-right,15.016666666666667,cohabok,against,1,Liberty,0,3
73,Female,<bach,10-right,15.016666666666667,cohabok,against,1,Violence,0,3
73,Female,<bach,10-right,15.016666666666667,cohabok,against,1,other,0,3
73,Female,<bach,10-right,15.016666666666667,cohabok,against,1,Fairness,0,3
73,Female,<bach,10-right,15.016666666666667,cohabok,against,1,Ingroup,0,3
73,Female,<bach,10-right,15.016666666666667,cohabok,pro,0,Harm,0,3
73,Female,<bach,10-right,15.016666666666667,cohabok,pro,0,Authority,0,3
73,Female,<bach,10-right,15.016666666666667,cohabok,pro,0,Purity,0,3
73,Female,<bach,10-right,15.016666666666667,cohabok,pro,0,Liberty,0,3
73,Female,<bach,10-right,15.016666666666667,cohabok,pro,0,Violence,0,3
73,Female,<bach,10-right,15.016666666666667,cohabok,pro,0,other,1,3
73,Female,<bach,10-right,15.016666666666667,cohabok,pro,0,Fairness,0,3
